id,name,age,badge,past_purchase_amt
87,Lisa Halloran,36,gold,7.39
88,John Salas,43,silver,45.87
89,Ryan Livezey,41,silver,37.65
90,Olivia Bilodeau,34,silver,57.7
91,Jan Davis,29,bronze,10.8
92,Tommy Petty,42,bronze,67.47
93,Brandon Rocchio,40,silver,23.01
94,Eleanor Day,18,gold,26.01
95,Herlinda Weiss,27,bronze,17.0
96,Jeanne Jagers,45,bronze,21.24
97,Inez Kidd,41,silver,8.47
98,Lara Veal,39,silver,60.72
99,James Robinson,32,bronze,62.61
100,Robert Hazel,26,bronze,180.68
101,Michael Rawls,40,bronze,29.32
102,Kiersten Frasher,35,silver,9.05
103,James Haymond,36,gold,13.32
104,James Lorenzen,45,silver,13.52
105,Brooke Reed,40,silver,15.96
106,Jerry Rodriguez,30,silver,28.35
107,Ralph Lashley,31,bronze,7.41
108,Erin Hohl,29,silver,40.19
109,Stacey Chee,35,bronze,36.239999999999995
110,Curtis Bender,33,bronze,27.64
111,Robert Velez,33,bronze,6.85
112,Valerie White,36,silver,19.07
113,Jessica Barker,43,bronze,38.3
114,Janice Chambers,40,silver,19.46
115,Aaron Camp,32,bronze,17.93
116,Sheila Batt,35,bronze,66.74000000000001
117,Shelley Teets,33,bronze,1950.85
118,Gregory Roberson,32,bronze,26.79
119,Ryan Doyle,29,gold,24.26
120,Melba Peck,36,bronze,11.2
121,Van Hailey,41,gold,316.22
122,Priscilla Bier,32,bronze,18.97
123,Kevin Riecke,41,silver,27.25
124,Connie Noriega,42,bronze,122.47
125,Ronald Ellis,41,silver,18.3
126,Larry Cali,34,gold,12.98
127,Danielle Jefferson,30,bronze,174.04
128,Isaac Williams,33,silver,8.33
129,Warren Lam,28,bronze,27.24
130,Terrance Nystrom,32,silver,26.31
131,Jason Brown,28,gold,101.9
132,Robert Swanson,39,silver,34.42
133,Shirley Hewitt,40,bronze,11.21
134,Alphonse Azevedo,38,bronze,19.369999999999997
135,Roger Li,32,bronze,6.85
136,Everett Guess,33,bronze,17.28
137,Marie Steele,27,bronze,96.73
138,Ryan Manis,36,gold,50.9
139,Bonita Duffey,41,bronze,9.16
140,Christine Galea,42,silver,36.489999999999995
141,Carol Vitullo,44,silver,20.66
142,Angela Coronel,36,bronze,33.480000000000004
143,Carl Diaz,31,gold,62.75
144,Kelly Blalock,35,gold,34.730000000000004
145,Sara Hufton,36,silver,61.13
146,Maurice Bobbitt,28,gold,46.12
147,Thomas Lang,20,bronze,8.06
148,Janice Anderson,38,silver,15.27
149,Andrea Kay,33,bronze,9.06
150,Leroy Collum,34,gold,15.12
151,Kayla Jones,33,gold,14.6
152,Janie Pinell,24,bronze,20.47
153,Jeffery Middaugh,40,silver,10.16
154,Gail Currie,41,bronze,17.23
155,Janet Brown,35,gold,8.33
156,Edith Rother,37,bronze,5.02
157,Helen Taylor,26,bronze,1019.53
158,Charles Engleman,35,gold,78.01
159,Charles Mayberry,44,silver,22.74
160,Gordon Robinson,37,bronze,11.86
161,Wilbur Mcrary,23,gold,72.37
162,Angela Fox,37,bronze,14.73
163,Shirley Mcclellan,28,gold,24.310000000000002
164,Isabel Coronado,28,gold,80.77
165,Joyce Giles,35,bronze,8.18
166,Joseph Jones,28,silver,11.98
167,Sherry Crowe,30,silver,10.18
168,Jimmie Shackelford,34,silver,14.41
169,James Little,33,bronze,266.82
170,James Soriano,24,silver,33.96
171,Brett Weckerly,28,silver,12.34
172,Alan Roberts,32,bronze,13.280000000000001
173,David Mcguigan,35,silver,30.79
174,Thomas Asmus,41,gold,42.9
175,Donna Fleming,44,silver,33.21
176,Jay Ortiz,34,bronze,11.46
177,Lewis Lee,38,bronze,18.259999999999998
178,Laura Mapes,30,bronze,9.46
179,Catherine Powell,23,silver,28.17
180,Crystal Bennett,30,gold,9.9
181,Raymond Shim,23,silver,116.41
182,Tia Detamore,31,bronze,15.44
183,Joshua Clukey,41,bronze,16.35
184,Leone Byrd,38,gold,20.16
185,Anthony Terrell,37,silver,19.380000000000003
186,Cynthia Miller,33,bronze,35.97
187,Dina Arellano,38,silver,14.809999999999999
188,Slyvia Pearson,30,bronze,129.7
189,Deborah Weiss,19,silver,28.96
190,Jennifer Cowart,19,gold,625.74
191,Jefferson Mcdonald,31,silver,18.18
192,Gary Hooks,41,silver,17.490000000000002
193,Diana Easterling,30,silver,33.43
194,Benjamin Whittle,45,gold,15.11
195,Alvin Dellavalle,38,bronze,7.13
196,Fletcher Bowyer,43,silver,21.36
197,Donald Hayden,44,gold,18.36
198,Karen Alvarez,45,gold,110.19
199,Darlene Trevino,40,bronze,5.21
200,Erica Dryden,41,silver,9.09
201,Michael Nelson,35,silver,16.15
202,Ruth Kirchner,36,silver,13.77
203,Jonathan Eberheart,27,bronze,10.05
204,Louise Robinson,25,bronze,58.33
205,Renee Tighe,27,bronze,17.35
206,Charles Wallace,39,silver,281.75
207,Donald Hansberry,37,silver,80.53
208,Dora Muir,33,bronze,7.109999999999999
209,Juan Abreu,29,silver,570.44
210,Jo Flores,29,silver,13.54
211,Louie Vario,38,bronze,40.68
212,Robert Mccartney,40,silver,49.58
213,Rachel Stiefel,31,silver,29.63
214,David Byrd,45,silver,41.04
215,Paul Mullins,38,bronze,91.06
216,Joel Young,29,gold,44.38
217,Francine Pychardo,37,bronze,8.83
218,Stephen Cuneo,35,bronze,12.41
219,Chad Nash,44,silver,7.96
220,Gary Kirby,41,silver,93.34
221,Patrick Bulow,35,bronze,7.1
222,Mary Thomas,31,silver,16.91
223,Tom Kline,26,gold,68.87
224,Darnell Hernandez,28,bronze,23.11
225,Una Kemp,20,bronze,10.23
226,Daniel Downs,40,bronze,19.47
227,Joan Hampton,37,silver,14.7
228,Terrence Prezzia,42,silver,27.28
229,Sara Shulz,39,silver,13.06
230,Thomas Williams,37,bronze,16.689999999999998
231,Lori Hernandez,29,bronze,5.7
232,Julius Robbins,41,bronze,91.17
233,Sandra Russell,37,silver,68.88
234,Paul Lathrop,44,gold,13.42
235,Richard Lafleur,39,silver,25.490000000000002
236,John Woo,41,bronze,15.39
237,Sherry Sadowski,29,bronze,24.42
238,Vincent Atkins,27,bronze,10.18
239,Bambi Vermeesch,36,bronze,9.35
240,Jesse Webb,34,silver,20.16
241,Debra Gonzales,37,silver,58.91
242,Fred Hankey,27,bronze,20.34
243,Frank Edlin,37,gold,12.309999999999999
244,Alma Smith,35,gold,244.78
245,Ann Miller,33,bronze,29.87
246,James Casey,41,bronze,26.5
247,Emily Hernandez,28,gold,8.27
248,Mary Mccarthy,32,bronze,14.24
249,Michael Printy,31,bronze,11.06
250,Larry Bacher,30,bronze,16.9
251,Benny Zingler,35,silver,36.489999999999995
252,Ellen Pryor,32,bronze,9.8
253,Lois Reilly,31,bronze,23.28
254,Angie Eaton,36,bronze,271.39
255,Ernestina Hughes,43,silver,15.780000000000001
256,Jamel Londo,33,bronze,6.21
257,Raymond Brown,33,silver,11.47
258,Alicia Stevens,37,bronze,32.379999999999995
259,Timothy Flores,27,silver,16.15
260,Annie Tanner,30,bronze,8.54
261,David Etkin,26,gold,10.719999999999999
262,Courtney Miller,30,silver,36.1
263,Chrystal Kelly,37,bronze,714.36
264,Sophia Johnson,39,bronze,27.67
265,James Gow,37,gold,10.9
266,Donna Allman,27,bronze,93.89
267,Richard Allen,37,bronze,10.29
268,Janice Boles,43,gold,42.35
269,Louis Newcomer,32,gold,69.75999999999999
270,Rodney Young,37,bronze,57.25
271,Mary Masser,39,bronze,146.03
272,James Mitchell,36,silver,12.54
273,Alfred Fennel,43,silver,68.95
274,Debra Earp,36,gold,35.9
275,Helen Hampton,29,silver,11.89
276,Kent Knutson,33,bronze,18.439999999999998
277,Terry Shumake,39,bronze,11.18
278,Charles Warden,42,bronze,23.67
279,Sasha Bohnert,34,silver,17.6
280,Marie Petitt,44,bronze,16.740000000000002
281,Bonnie Weibel,40,silver,49.53
282,Cynthia Mayer,29,silver,59.06
283,Robert Isch,44,silver,154.4
284,Deanna Roberts,38,bronze,19.759999999999998
285,Paula Privitera,38,bronze,14.96
286,Jack Jennings,39,gold,39.95
287,Mark Holbach,32,gold,20.61
288,Orlando Barr,42,bronze,7.48
289,Betsy Freeman,34,bronze,12.64
290,Herman Vandusen,27,gold,38.09
291,David Craig,27,bronze,119.94
292,Alfreda Redman,39,bronze,27.53
293,Derek Catron,27,silver,1130.34
294,Leonard Goodwin,37,bronze,22.03
295,Lucy Sokolsky,28,bronze,37.8
296,Susie Palumbo,39,bronze,538.75
297,Jack Wyant,40,bronze,10.01
298,Christiana Mills,30,bronze,182.23
299,Edith Cianfrini,40,bronze,7.47
300,Nellie Griffin,31,silver,27.62
301,Christopher Reed,42,bronze,17.39
302,Valerie Wathen,37,gold,84.4
303,Michele Lippert,22,bronze,396.34
304,Virginia Allison,23,bronze,16.55
305,Iris Thomas,41,bronze,6.05
306,Andrew Jones,33,bronze,21.67
307,Robert Zaldana,31,gold,35.120000000000005
308,Doris Goodwin,21,silver,22.4
309,Vivian Furtado,40,bronze,10.08
310,Doris Nappi,37,bronze,60.9
311,Christopher Herrington,40,bronze,9.68
312,Nelson Larson,38,bronze,31.63
313,Alex Wilson,41,bronze,119.31
314,Felix Fields,45,silver,22.47
315,Edward Hauger,40,bronze,10.3
316,Jonathon Costantino,36,bronze,32.95
317,Johnny Peters,32,bronze,364.11
318,Lucille Fontaine,27,silver,19.119999999999997
319,Robert Lindsey,30,silver,164.84
320,Thelma Oconnell,33,bronze,9.96
321,Nancy Nelson,33,gold,7.04
322,Sally Eison,30,silver,81.9
323,Jane Harris,46,bronze,25.91
324,Sharon Mcgann,39,silver,49.23
325,Martin Stephens,38,gold,47.06
326,Thomas Carter,41,bronze,43.61
327,Bunny Beal,32,silver,31.89
328,Norman Pruiett,36,gold,9.9
329,Patrick Finch,41,bronze,11.2
330,William Woodward,34,silver,12.51
331,Richard Perry,40,bronze,6.26
332,Lizzie Anderson,28,bronze,25.71
333,Maria Johnson,26,bronze,15.54
334,Alyssa Moore,31,bronze,11.06
335,Gary Jacobs,41,gold,38.0
336,Matthew Mcdermott,37,bronze,106.92
337,Jessica Bolen,31,bronze,25.619999999999997
338,Jane Edward,24,bronze,14.6
339,Linda Simonelli,37,silver,25.49
340,David Bejaran,39,silver,27.25
341,Mark Smith,31,bronze,33.7
342,Gerda Carmichael,30,bronze,7.35
343,Sharon Keegan,35,bronze,10.68
344,Peggy Travis,25,gold,29.29
345,Philip Harris,42,bronze,40.489999999999995
346,Sylvia Owen,41,silver,59.07
347,Heidi Doctor,35,bronze,41.8
348,Connie Johnson,42,silver,20.92
349,Frederick Elliott,33,silver,51.0
350,Miguel Keith,22,silver,30.38
351,Emily Hicks,31,gold,16.22
352,James Rombough,39,silver,6337.39
353,Linda Ballentine,23,silver,22.09
354,Cora Huber,32,silver,9.17
355,Earl Turnquist,45,bronze,101.38
356,Martha Martinez,28,bronze,376.13
357,Joni Dubow,40,bronze,52.08
358,Herbert Plagmann,44,silver,62.34
359,Debora Tuck,30,gold,86.9
360,Paula Munoz,23,silver,17.55
361,Armando Butter,29,bronze,26.54
362,Joshua Bolla,43,silver,24.73
363,Shelly Dellapenna,39,gold,29.8
364,Mary Ehlers,27,gold,24.03
365,Jason Lucas,35,bronze,16.45
366,Herbert Easley,36,bronze,6.47
367,Stephanie Cassel,38,gold,9.26
368,Robert Jones,41,bronze,26.89
369,Michelle Scott,34,silver,9.42
370,William Carter,40,gold,32.3
371,Aaron Thompson,40,bronze,10.07
372,Frank Alonzo,45,silver,9.84
373,Joanne Ryan,39,gold,55.92
374,Edward Mishou,40,gold,73.27000000000001
375,Jessica Smith,26,bronze,35.7
376,Barbara Bradley,40,silver,14.31
377,Valerie Ramer,22,gold,14.68
378,Leroy Green,38,gold,17.61
379,Eli Taylor,24,gold,9.78
380,Gretchen Sanchez,37,silver,12.89
381,Frank Farley,28,silver,44.29
382,Jimmy Wilkerson,42,gold,17.67
383,John Dunkelberger,32,silver,9.67
384,Samuel Dean,27,bronze,53.27
385,Marcos Bensch,41,bronze,20.82
386,Barbara Thomas,40,bronze,260.03
387,Taneka Haney,45,gold,11.92
388,Patricia Jemerson,41,bronze,7.49
389,Karl Fay,38,gold,47.27
390,Ryan Lankford,32,silver,171.35
391,Valerie Crumm,35,bronze,19.29
392,Reginald Baker,42,silver,96.56
393,Ethel Shah,45,bronze,20.92
394,Henry Kyle,41,bronze,37.69
395,Ralph Reddy,40,bronze,7.01
396,David Abell,37,gold,53.44
397,Henry Cox,38,silver,27.54
398,Rebekah Sams,26,bronze,106.71
399,Annette Shoop,32,silver,22.14
400,Arnold Crudup,26,bronze,9.59
401,Deborah Goetz,27,silver,15.24
402,Richard Mcculley,37,silver,22.04
403,Marvin Bowden,29,silver,11.83
404,Eugene Demora,35,silver,12.629999999999999
405,Stella Rogers,33,bronze,5.96
406,Robert Crowder,22,bronze,22.09
407,Nancy Jackson,41,silver,52.08
408,Nick Alaniz,40,bronze,28.26
409,Robert Little,22,bronze,107.58
410,Bennett Threlkeld,30,gold,28.06
411,Ricardo Azen,36,silver,143.02
412,Jessica Kinsinger,29,bronze,9.14
413,Felipa Jividen,36,silver,9.54
414,Martha Swinney,33,silver,10.11
415,Erik Schultz,38,silver,18.8
416,Katrina Aragaki,41,gold,364.55
417,Paul Perez,30,silver,7.68
418,Terrance Delgadillo,41,bronze,8.13
419,James Royce,43,bronze,102.15
420,Michael Morrill,26,bronze,95.37
421,Ella Bowen,38,bronze,23.630000000000003
422,Lynn Brown,24,bronze,5.14
423,Stephanie Blazek,37,silver,31.33
424,Jill Orr,36,bronze,9.49
425,Mao Fernandez,40,bronze,8.6
426,Michelle Puckett,28,silver,11.64
427,Joel Williams,41,silver,65.75
428,Sasha Martin,26,bronze,7.75
429,Michael Simonson,27,silver,15.74
430,Patrick Messina,40,gold,11.58
431,Randy Miller,24,bronze,388.38
432,Derek Hayes,38,bronze,7.62
433,Helen Smith,31,bronze,8.39
434,Maria Wallace,22,bronze,20.869999999999997
435,Christina Ezell,37,bronze,119.48
436,Sylvia Mathew,40,gold,24.85
437,Amber Roy,26,silver,26.18
438,Arthur Souter,27,silver,22.59
439,Rebecca Horton,27,bronze,167.43
440,Joe Jones,36,bronze,10.95
441,Lisa West,41,silver,166.76
442,Lacey West,28,gold,5.14
443,Jennifer Westmoreland,41,bronze,9.16
444,George Nolton,41,bronze,9.53
445,Caroline Pereira,36,silver,7.6
446,Jean Overman,42,bronze,44.25
447,Steven Posey,41,bronze,9.870000000000001
448,Javier Mcdonald,38,bronze,31.22
449,Sonya Mortenson,24,bronze,666.14
450,Pearl Tune,30,bronze,6.05
451,William Slavin,42,silver,48.44
452,Arthur Johnson,41,silver,1266.64
453,Sharon Johnson,44,silver,32.17
454,Juan Peters,39,silver,20.369999999999997
455,Janice Luckhardt,22,gold,10.690000000000001
456,Helen Sawyer,30,bronze,41.68
457,Alfred Hammonds,41,silver,20.79
458,Joshua Vaughn,35,gold,12.15
459,Wayne Blackwell,33,bronze,205.14
460,Ross Hitt,37,silver,411.81
461,Angel Sawyers,39,gold,107.95
462,Alice Hutcheson,26,silver,33.629999999999995
463,Gerald Oliver,44,silver,44.76
464,Lee Ayers,38,silver,17.17
465,Joseph Shock,41,bronze,216.28
466,Michael Clark,35,silver,19.92
467,Aurelio Reynolds,30,bronze,10.07
468,Colton Alexander,30,silver,92.08
469,Emily Stern,45,silver,17.66
470,Fred Daniels,21,bronze,15.9
471,Marco Oxendine,27,silver,5.04
472,John Leslie,21,bronze,6.03
473,Julie Lucero,27,silver,9.14
474,Alexis Hutchins,38,bronze,24.490000000000002
475,Anita Goldstein,26,bronze,15.56
476,Rickey Lewis,29,silver,56.1
477,Jacqueline Stracke,28,bronze,52.09
478,Rolando White,40,gold,41.09
479,Sybil Reilly,36,silver,20.34
480,Alexander Johnson,36,bronze,23.5
481,Maria Escalera,21,silver,223.45
482,Harold Garza,38,bronze,10.17
483,Jennifer Kunzler,19,bronze,22.91
484,Salvatore Amos,35,gold,22.060000000000002
485,Belva Carroll,34,bronze,20.89
486,Joshua Russel,35,gold,39.629999999999995
487,Lawrence Vasquez,37,bronze,8.15
488,Laurie Roberts,34,bronze,184.77
489,Michael Hurd,45,silver,27.0
490,Jerry Duncan,28,bronze,10.08
491,William Williamson,42,bronze,9.12
492,Tina Case,31,bronze,154.02
493,Keith Chaney,31,bronze,63.9
494,Mary Nelson,37,bronze,9.36
495,Lawrence Johnson,24,silver,18.759999999999998
496,Raymond Daniels,23,gold,10.97
497,Andrew Applegate,42,silver,13.25
498,John Albers,40,bronze,16.509999999999998
499,Claudine Thomas,40,bronze,5.4
500,Alan Lister,35,bronze,11.0
501,Mary Scott,44,silver,23.7
502,Clarence Morton,23,bronze,86.12
503,April Blain,42,silver,26.39
504,John Gilbert,29,gold,66.08
505,Frank Lopze,45,silver,43.82
506,Hugh Haskins,26,bronze,8.06
507,Denise Spann,28,gold,36.93
508,Ronald Newman,27,silver,29.89
509,Martha Smith,42,silver,28.06
510,Jayson Garwood,29,silver,24.33
511,Debbie Pietrafesa,42,silver,57.51
512,Patrick Hertel,31,bronze,18.77
513,Amanda Morgan,37,bronze,15.06
514,Christina Lucas,41,bronze,40.21
515,David Munson,25,bronze,7.01
516,Raymond Barber,23,bronze,18.22
517,Richard Molina,33,bronze,33.05
518,Paul Lovelock,25,silver,11.65
519,Michael Ratliff,41,bronze,231.23
520,April Parks,22,gold,8.26
521,Patricia Rangnow,29,gold,30.89
522,Aaron Grudem,35,silver,11.3
523,Teresa Setzer,33,gold,33.629999999999995
524,Mark Sullivan,31,gold,17.009999999999998
525,Adam Perdue,40,silver,29.44
526,Debbie Smith,31,gold,22.73
527,Jade Johnston,29,bronze,7.09
528,Kathleen Condon,30,gold,57.43
529,Debbie Printup,42,gold,9.26
530,Anthony Harris,30,gold,7.31
531,Dale Thomas,36,bronze,77.58
532,Suzanne Willsey,34,silver,30.03
533,Patricia Niles,30,bronze,10.879999999999999
534,Carl Louie,27,silver,18.3
535,Linda Henkhaus,36,silver,27.54
536,Samuel Johnson,32,bronze,31.25
537,James Schlueter,28,bronze,9.02
538,Kenneth Crosland,30,bronze,26.11
539,Helen Fritzler,38,bronze,8.93
540,Tyler Leisenring,31,bronze,7.11
541,Carlos Davis,41,bronze,15.98
542,Victoria Ballew,34,silver,29.87
543,Christopher Hicks,27,gold,239.08
544,Margaret Walker,44,bronze,76.4
545,Kevin Goss,25,silver,17.27
546,Cameron Malone,34,bronze,8.41
547,Graig Krumins,36,bronze,114.45
548,Harold Reeser,33,silver,17.34
549,Hilda Byker,28,bronze,20.04
550,Nicole Hamilton,32,bronze,17.28
551,Mckinley Wilkinson,35,gold,16.52
552,Marvin Wade,32,silver,25.4
553,Scott Leslie,31,bronze,9.07
554,Ronald Grove,45,bronze,52.29
555,Ian Oshita,32,bronze,41.28
556,Delinda Sandidge,42,silver,14.75
557,Jerry Stiles,31,silver,11.83
558,Carrol Mosley,29,bronze,83.7
559,Jennifer Abell,39,silver,18.72
560,Thomas Avila,24,gold,73.78
561,Dominic Griffin,38,silver,36.239999999999995
562,William Sluder,34,gold,253.33
563,Clara Fordham,41,bronze,5.54
564,Abel Morley,38,gold,18.119999999999997
565,Elvis Hendricks,28,silver,19.86
566,Rebecca Smiley,35,gold,62.29
567,Judy Mccormick,35,bronze,21.130000000000003
568,Carrol Gallardo,32,bronze,37.89
569,Rachelle Chandler,33,bronze,7.14
570,Rosa Donnally,35,bronze,28.77
571,Arthur Dickinson,28,bronze,46.21
572,Heather Green,45,bronze,15.280000000000001
573,Luis Gandy,41,bronze,1198.55
574,Shari Williams,32,silver,30.69
575,Constance Marroguin,41,silver,35.91
576,Antonetta Wilkinson,34,bronze,1435.7
577,Terry Mosier,31,bronze,43.75
578,Ronald Tejeiro,33,bronze,11.79
579,Emma Alexis,42,gold,9.8
580,Glenn Fleming,38,bronze,31.68
581,Michael Rohrbach,41,bronze,7.11
582,Manuel Riso,30,gold,6.27
583,Sara Thomas,38,bronze,5.25
584,Joan Mann,40,silver,23.68
585,Paul Griffiths,45,silver,49.58
586,Steven Kline,38,silver,32.019999999999996
587,Ronnie Ramsey,33,gold,22.71
588,Douglas Zwagerman,25,silver,50.18
589,Jenifer Oleary,30,bronze,8.08
590,Wanda Richards,33,bronze,16.86
591,Marion Adkins,35,bronze,36.54
592,Anna Vaughan,41,gold,17.09
593,James Pastel,41,silver,8.64
594,America Paz,33,silver,7.52
595,Earnest Burks,36,silver,23.1
596,David Graham,42,bronze,48.59
597,Erline Delperdang,39,bronze,263.94
598,Joe Gellert,30,silver,21.82
599,April Puccio,45,gold,20.46
600,Nicole Lorensen,30,bronze,15.84
601,Sean Raymo,30,silver,32.81
602,Lourdes Gonzalez,32,bronze,33.69
603,Brian Gough,25,gold,14.81
604,Allie Diaz,22,silver,20.259999999999998
605,Steven Wiley,42,silver,40.41
606,Rico Coyle,44,silver,17.4
607,Amy Willis,35,gold,42.11
608,Melaine Alexander,36,bronze,11.78
609,Rose Runge,41,bronze,27.56
610,Michelle Stacy,38,bronze,8.35
611,Joe Weston,29,bronze,21.14
612,Catherine Delatorre,41,bronze,128.7
613,Juanita Montalbo,28,bronze,8.13
614,Brett Walker,45,silver,33.35
615,Shaun Spaulding,24,bronze,28.1
616,Mary Dick,32,bronze,30.03
617,Janet Ponce,41,bronze,9.02
618,Elaine Lopez,34,silver,42.89
619,Rose Hernandez,29,bronze,15.02
620,Alison Roberts,36,gold,29.34
621,Amanda Pacheo,31,bronze,20.33
622,Kenneth Rodriguez,36,silver,8.02
623,Billy Griffith,28,bronze,8.14
624,James Hicks,28,silver,73.03
625,Amber Galindo,40,bronze,7.05
626,Kathleen Smith,37,silver,35.33
627,Jesse Wymer,27,bronze,7.18
628,Tony Monk,24,gold,9.99
629,Karen Burns,43,gold,50.21
630,Tiffany Weekley,27,gold,53.2
631,Janice Prince,41,gold,36.78
632,Bessie Conley,29,bronze,13.08
633,Eva Larsen,40,silver,51.59
634,Jon Jenkins,45,silver,20.27
635,Susan Mikulak,27,bronze,6125.62
636,William Berry,38,bronze,55.79
637,Patricia Soledad,36,silver,138.72
638,Johnnie Singleton,21,bronze,5.03
639,Lorrie Diminich,45,silver,365.26
640,Steve Shifflett,33,gold,10.31
641,Ophelia Morris,26,silver,14.57
642,Hilda Wheaton,27,bronze,64.83
643,Linda Crutcher,34,bronze,12.34
644,Donald Carr,36,silver,25.92
645,Barbra Elsea,36,bronze,32.57
646,Clarence Baumgartner,37,bronze,10.14
647,Jeffrey Breen,40,silver,9.42
648,Kieth Sabol,26,gold,29.59
649,Dewey Jones,31,bronze,169.16
650,Patsy Bachrach,30,silver,12.26
651,Lawrence Williams,41,bronze,34.489999999999995
652,Jerry Kervin,45,silver,54.41
653,James Richards,29,silver,153.63
654,Max Erekson,40,gold,28.61
655,Sharon Kilgore,27,bronze,10.59
656,Kevin Montana,43,silver,19.9
657,Robert Chase,41,bronze,9.36
658,Kayla Brann,39,gold,50.41
659,Julie Edwards,41,silver,7.12
660,Barry Lim,30,silver,16.35
661,Glynis Nicholas,39,bronze,8.69
662,Scott Sirois,18,bronze,975.12
663,Herman Middleton,36,silver,19.82
664,Doreen Giroux,32,bronze,44.23
665,Ophelia Brainard,31,bronze,24.61
666,Tammy Solomon,41,bronze,215.98
667,Lewis Crump,43,gold,11.370000000000001
668,Annie Rees,35,bronze,15.64
669,Paul Saunders,37,bronze,22.310000000000002
670,Courtney Reynolds,40,gold,137.98
671,Patrick Layton,27,silver,47.69
672,Jack Payne,31,gold,257.37
673,Jon Fowler,30,bronze,23.66
674,Sherry Gage,34,bronze,29.79
675,Jose Mcghee,29,bronze,5.39
676,Christopher Wilson,41,gold,762.69
677,Jason Koopman,35,gold,26.37
678,Amy Gallegos,32,bronze,9.59
679,Michelle Stookey,35,bronze,8.31
680,Jenelle Mckenzie,28,gold,42.41
681,Sean Riddle,37,bronze,8.43
682,Luis Field,36,bronze,24.62
683,Willie Knowles,34,gold,37.9
684,Gregory Funches,44,bronze,134.76
685,Kimberly Stoltenberg,30,bronze,14.2
686,Helen Ramgel,32,silver,30.66
687,Julia Clark,36,bronze,21.71
688,Kimberly Chevrette,46,silver,71.72
